4,en,Chilling,Just chill.,8
6,de,Chillen,Sich entspannen.,8
7,de,Musik,Sie spielen ein Instrument? Dann sind Sie hier richtig!,4
3,en,Music,You play an instrument? Then this is the place to be!,4
2,en,Board games,"Chess, Monopoly, Risk: Everything played on a board.",3
8,de,Brettspiele,"Schach, Monopoly, Risiko: Eben alles, was am Brett gespielt wird.",3
9,de,Kartenspiele,"Skat, Doppelkopf, Poker: Die Liste ist lang.",2
1,en,Card games,"Skat, doppelkopf, poker: The list goes on.",2
10,de,Sport,Mal die Muskeln spielen lassen.,1
5,en,Sports,Do it.,1
